Version	Since	Object	Element	Order	Occurrence	Group	Type	FixedValue
2.7.0	1.1.0	Service	AccessURL	05	1			
2.7.0	1.3.0	Service	Extension	06	*			
2.7.0	2.4.0	Software	ResourceID	01	1			
2.7.0	2.7.0	Software	NamingAuthority	02	0			
2.7.0	2.7.0	Software	ResourceType	03	0			
2.7.0	2.4.0	Software	ResourceHeader	04	1			
2.7.0	2.6.0	Software	AccessInformation	05	*			
2.7.0	2.4.0	Software	SoftwareVersion	06	0			
2.7.0	2.4.0	Software	ApplicationInterface	07	*			
2.7.0	2.4.0	Software	CodeLanguage	08	0			
2.7.0	2.4.0	Software	Prerequisites	09	+			
2.7.0	2.4.0	Software	ExecutionEnvironment	10	+			
2.7.0	2.4.0	Software	InputProperty	11	*	PropertyEntity		
2.7.0	2.4.0	Software	OutputProperty	12	*	PropertyEntity		
2.7.0	1.3.1	Source	SourceType	01	1			
2.7.0	1.3.1	Source	URL	02	1			
2.7.0	1.3.1	Source	MirrorURL	03	*			
2.7.0	1.3.1	Source	Checksum	04	0			
2.7.0	1.3.1	Source	DataExtent	05	0			
2.7.0	1.1.0	Spase	Version	01	1			
2.7.0	1.1.0	Spase	Catalog	02	+	ResourceEntity		
2.7.0	1.1.0	Spase	DisplayData	03	+	ResourceEntity		
2.7.0	1.1.0	Spase	NumericalData	04	+	ResourceEntity		
2.7.0	1.1.0	Spase	Granule	05	+	ResourceEntity		
2.7.0	1.1.0	Spase	Instrument	06	+	ResourceEntity		
2.7.0	1.1.0	Spase	Observatory	07	+	ResourceEntity		
2.7.0	1.1.0	Spase	Person	08	+	ResourceEntity		
2.7.0	1.1.0	Spase	Registry	09	+	ResourceEntity		
2.7.0	1.1.0	Spase	Repository	10	+	ResourceEntity		
2.7.0	1.1.0	Spase	Service	11	+	ResourceEntity		
2.7.0	1.1.0	Spase	Annotation	12	+	ResourceEntity		
2.7.0	1.3.0	Spase	Document	13	+	ResourceEntity		
2.7.0	2.4.0	Spase	Software	14	+	ResourceEntity		
2.7.0	2.5.0	Spase	Collection	15	+	ResourceEntity		
2.7.0	2.6.0	Spase	Model	16	+	ResourceEntity		
2.7.0	2.6.0	Spase	ModelRun	17	+	ResourceEntity		
2.7.0	2.6.0	Spase	DisplayOutput	18	+	ResourceEntity		
2.7.0	2.6.0	Spase	NumericalOutput	19	+	ResourceEntity		
2.7.0	2.4.2	SpatialCoverage	CoordinateSystem	01	1			
2.7.0	2.4.2	SpatialCoverage	CenterLatitude	02	0			
2.7.0	2.4.2	SpatialCoverage	NorthernmostLatitude	03	0			
2.7.0	2.4.2	SpatialCoverage	SouthernmostLatitude	04	0			
2.7.0	2.4.2	SpatialCoverage	CenterLongitude	05	0			
2.7.0	2.4.2	SpatialCoverage	EasternmostLongitude	06	0			
2.7.0	2.4.2	SpatialCoverage	WesternmostLongitude	07	0			
2.7.0	2.4.2	SpatialCoverage	CenterElevation	08	0			
2.7.0	2.4.2	SpatialCoverage	MinimumElevation	09	0			
2.7.0	2.4.2	SpatialCoverage	MaximumElevation	10	0			
2.7.0	2.4.2	SpatialCoverage	Acknowledgement	11	0			
2.7.0	2.4.2	SpatialCoverage	Description	12	0			
2.7.0	2.6.0	SpatialDescription	Dimension	01	1			
2.7.0	2.6.0	SpatialDescription	CoordinateSystem	02	1			
2.7.0	2.6.0	SpatialDescription	Units	03	1			
2.7.0	2.6.0	SpatialDescription	UnitsConversion	04	0			
2.7.0	2.6.0	SpatialDescription	CoordinatesLabel	05	0			
2.7.0	2.6.0	SpatialDescription	CutsDescription	06	1	CubesCutsEntity		
2.7.0	2.6.0	SpatialDescription	CubesDescription	07	1	CubesCutsEntity		
2.7.0	2.6.0	SpatialDescription	PlaneNormalVector	08	1	PlaneNormalVectorPointEntity		
2.7.0	2.6.0	SpatialDescription	PlanePoint	09	1	PlaneNormalVectorPointEntity		
2.7.0	2.6.0	SpatialDescription	RegionBegin	10	1	RegionBeginEndEntity		
2.7.0	2.6.0	SpatialDescription	RegionEnd	11	1	RegionBeginEndEntity		
2.7.0	2.6.0	SpatialDescription	Step	12	0			
2.7.0	1.2.0	Structure	Size	01	1			
2.7.0	1.2.0	Structure	Description	02	0			
2.7.0	1.2.0	Structure	Element	03	*			
2.7.0	1.3.1	Support	Qualifier	01	*			
2.7.0	1.3.0	Support	SupportQuantity	02	1			
2.7.0	1.1.0	TemporalDescription	TimeSpan	01	1			
2.7.0	1.1.0	TemporalDescription	Cadence	02	0			
2.7.0	2.2.9	TemporalDescription	CadenceMin	03	0			
2.7.0	2.2.9	TemporalDescription	CadenceMax	04	0			
2.7.0	1.1.0	TemporalDescription	Exposure	05	0			
2.7.0	2.2.9	TemporalDescription	ExposureMin	06	0			
2.7.0	2.2.9	TemporalDescription	ExposureMax	07	0			
2.7.0	1.1.0	TimeSpan	StartDate	01	1			
2.7.0	1.1.0	TimeSpan	StopDate	02	1	StopDateEntity		
2.7.0	1.1.0	TimeSpan	RelativeStopDate	03	1	StopDateEntity		
2.7.0	1.2.0	TimeSpan	Note	04	*			
2.7.0	2.6.0	Versions	ModelVersion	01	*			
2.7.0	1.3.5	Wave	WaveType	01	0			
2.7.0	1.3.5	Wave	Qualifier	02	*			
2.7.0	1.3.5	Wave	WaveQuantity	03	1			
2.7.0	1.3.5	Wave	EnergyRange	04	0			
2.7.0	1.3.5	Wave	FrequencyRange	05	0			
2.7.0	1.3.5	Wave	WavelengthRange	06	0			
2.7.0	2.6.1	Wave	SourceRegion	07	*			
2.7.0	2.6.1	Wave	SourceRegionExtent	08	*			
2.7.0	1.3.0	WavelengthRange	SpectralRange	01	0			
2.7.0	1.3.0	WavelengthRange	Low	02	1			
2.7.0	1.3.0	WavelengthRange	High	03	1			
2.7.0	1.3.0	WavelengthRange	Units	04	1			
2.7.0	1.3.0	WavelengthRange	Bin	05	*			
