#ID	Version	Updated	ChangedBy	Description	Note
297	2.3.1	2019-09-27	T.King	Add DirectionCosine, GeometricFactor, AdiabaticInvariant, MagneticMoment, BounceMotion, DriftMotion, DataQuality, Orientation, SpinPeriod, SpinPhase, SpinRate, LowerHybridFrequency and UpperHybridFrequency to dictionary.; Create DirectionCosine enumeration with I,J,K as members; Create AdiabaticInvariant enumeration with MagneticMoment, BounceMotion and DriftMotion as members.; Add DirectionCosine to Qualifier list.;Add GeometericFactor, AdiabaticInvariant to ParticleQuantities; Add DataQuality, Orientation, SpinPeriod, SpinPhase and SpinRate to SupportQuantity.; Add LowerHybridFrequency and UpperHybridFrequency to WaveQuantity.	Suggested by L. Bargatze. Decided during telecon on 2019-09-20.
298	2.3.1	2019-10-31	T.King	Add CoPI, MidLatitudeRegion, SubAuroralRegion, ProjectEngineer, and ProjectManager to dictionary; Add CoPI, ProjectEngineer, ProjectManager to Role enumeration; Add Plasmasphere, RingCurrent, and MidLatitudeRegion to Magnetosphere enumeration.; Add MidLatitudeRegion, and ProjectManager to NearSurface enumeration.; Fix typo with Role values with dashes.	Decided during telecon on 2019-10-31.
299	2.3.1	2019-11-14	T.King	Released.	Decided during the telecon on 2019-11-14.
300	2.3.2	2020-09-10	T.King	Add Housekeeping, Telemetry, RotationMatrix, EncodedParameter, AutoSpectrum, Coherence, ImaginaryPart, RealPart, PowerSpectralDensity, ChargeFlux, DynamicPressure, EnergyPerCharge, ParticleRigidity, MassPerCharge, LShell, MissionPrincipalInvestigator, ProgramManager, ProgramScientist, VolumeEmissionRate, SPICE, MissionManager to dictionary and to appropriate enumerations as suggested by L. Bargatze; Add PDS4 and PDS3 to dictionary and to Format enumeration as suggest by A. Masson.	Decided during the telecon on 2020-08-06.
301	2.3.2	2020-09-30	T.King	Add InstrumentGroupID and Experiment to dictionary; Add InstrumentGroupID to Instrument and Experiment to InstrumentType.	Decided during the telecon on 2020-09-24.
302	2.3.2	2020-10-08	T.King	Add InstrumentLead to dictionary and to Role.	Decided during the telecon on 2020-10-08.
303	2.3.2	2020-10-15	T.King	Released.	Decided during the telecon on 2020-10-15.
304	2.4.0	2020-11-12	T.King	Add Software resource and related elements to the information model.	Discussed during prior telecons.
305	2.4.0	2021-02-04	T.King	Change Version to SoftwareVersion in Software resource; Add elements to InputProperty and OutputProperty.	Discussed in email exchanges.
306	2.4.0	2021-04-29	T.King	Add Policy and Convention to dictionary and to DocumentType enumeration	Decided during prior telecon.
307	2.4.0	2021-04-29	T.King	Change Format in AccessInformation to have one or more occurrence.	Decided during telecon on 2021-04-29.
308	2.4.0	2021-04-29	T.King	Add ValueAdded to the dictionary; Add ValueAdded to ProcessingLevel.	Suggested during  subsequent telecons.
309	2.4.0	2021-06-10	T.King	Released.	Decided during the telecon on 2021-06-10.
310	2.4.1	2021-10-14	T.King	Add Git, TAP, EPNTAP to dictionary and to Style enumeration; add TFCat, RINEX2 and RINEX3 to dictionary and Format enumeration; Add Author to dictionary and to Role enumeration.	Decided during the IHDEA meeting 2021-10-01.
311	2.4.1	2022-02-24	T.King	Make Annotation.PhenomenomType zero or more occurrences (*); Make Observatory.Location one or more occurrences (+)	Decided during the SMWT telecon on 2022-02-24.
312	2.4.1	2022-04-20	T.King	Add InstrumentScientist to dictionary and to Role enumeration; Fix definition of Longitude.	Per S. Fung email.
313	2.4.1	2022-04-28	T.King	Add Remark and WebResource to dictionary; Add Remark, WebResource, WebService to SupportQuantity enumeration.	Per L. Bargatze led discussion during telecon on 2022-04-28.
314	2.4.1	2022-05-05	T.King	Update definitions of MeasurementType, PublicationDate, PublicationInfo and PublishedBy.	Per S. Fung suggestions.
