#ID	Version	Updated	ChangedBy	Description	Note
170	1.3.0	2007	T.King	Added Language to dictionary.	
171	1.3.0	2008	T.King	Introduced Document resource.	
172	1.3.0	2008	T.King	Added Document Type enumeration and Paper as an item.	
173	1.3.0	2008	T.King	Added Number Flux to Particle Quantity.	
174	1.3.0	2008	T.King	Moved CrossSpectrum from FieldQuantity to FieldQualifier.	
175	1.3.0	2008	T.King	Added Electromagnetic to FieldQuantity.	
176	1.3.0	2008	T.King	Added PhysicalParameter to Catalog and DisplayData.	
177	1.3.0	2008-04-24	T.King	Removed "Structure Type" from dictionary and Structure.	Decided during telecon on 2008-04-24.
178	1.3.0	2008-04-24	T.King	Removed "Observatory Group" from dictionary and Observatory.	Decided during telecon on 2008-04-24.
179	1.3.0	2008-04-25	T.King	Removed "Provider Release Date" from dictionary.	Decided during telecon on 2008-04-24.
180	1.3.0	2008-05-20	T.King	Added "Magnetic Cloud" to dictionary and "Phenomenon Type"	Decided by e-mail on 2008-05-20.
181	1.3.0	2008-05-20	T.King	Changed cardinality of "Phenomenon Type" to + in Catalog.	Decided by e-mail on 2008-05-20.
182	1.3.0	2008-04-24	T.King	Restored "Observatory Group" and made it multiple occurrence.	Decided during telecon on 2008-05-08.
183	1.3.0	2008-05-22	T.King	Added "TAR" to the dictionary and to "Encoding Type".	Decided during telecon on 2008-05-22.
184	1.3.0	2008-05-22	T.King	Made "Encoding Type" multiple occurrence (*) in "Access Information".	Decided during telecon on 2008-05-22.
185	1.3.0	2008-05-22	T.King	Changed "End Date" to "Stop Date" and "Relative End Date" to "Relative Stop Date".	Decided during telecon on 2008-05-22.
186	1.3.0	2008-05-22	T.King	Added "Active Region" to dictionary and "Phenomenon Type".	Decided during telecon on 2008-05-22.
187	1.3.0	2008-05-22	T.King	Added "Coronal Hole" to dictionary and "Phenomenon Type".	Decided during telecon on 2008-05-22.
188	1.3.0	2008-05-22	T.King	Added "Radio Burst" to dictionary and "Phenomenon Type".	Decided during telecon on 2008-05-22.
189	1.3.0	2008-05-22	T.King	Added "EIT Waves" to dictionary and "Phenomenon Type".	Decided during telecon on 2008-05-22.
190	1.3.0	2008-05-22	T.King	Fixed spelling of "Plasma Frequency" in the "Photon Qualifier" list.	
191	1.3.0	2008-05-22	T.King	Removed "Array" from the Field, Photon and Particle qualifier lists.	Decided during telecon on 2008-05-22.
192	1.3.0	2008-11-22	T.King	Released.	Estimated actual release date.
193	1.3.1	2008-07-21	T.King	Updated description of duration type.	Editorial correction
194	1.3.1	2008-07-31	T.King	Added "Set" to "Physical Parameter"	Decided during the telecon on 2008-06-26
195	1.3.1	2008-07-31	T.King	Added "Source" dictionary and to "Granule", Removed URL, Checksum and Data Extent from Granule (now in Source)	Decided during the telecon on 2008-06-26
196	1.3.1	2008-07-31	T.King	Added "Source Type" as a list with possible values of Data, Layout, Ancillary, Browse and Thumbnail.	Decided during the telecon on 2008-06-26
197	1.3.1	2008-07-31	T.King	Added "Qualifier" as a unified list of all qualifiers. Removed "Field Qualifier", "Photon Qualifier" and "Particle Qualifier" from the dictionary. Replaced each with "Qualifier" in the ontology. Added "Qualifier" to "Support"	Decided during the telecon on 2008-07-231
198	1.3.1	2008-07-31	T.King	Added "Trace" to the dictionary and to the "Qualifier" list.	Decided during the telecon on 2008-07-31
199	1.3.1	2008-07-31	T.King	Added "Ion Drift" and "Dust Detector" to the dictionary and to the "Instrument Type" list.	Decided during the telecon on 2008-07-31
200	1.3.1	2008-07-31	T.King	Added "Platform" to the dictionary and to the "Instrument Type" list, remove "Ephemeris" from the "Instrument Type" list.	Decided during the telecon on 2008-07-31
201	1.3.1	2008-09-04	T.King	Added "Rendering Hints" with elements Format, AxisLabel, DisplayType, ScaleMin, ScaleMax, ScaleType and related enumerated values.	Decided during the telecon on 2008-08-21
202	1.3.1	2008-09-04	T.King	Added "Symmetric" to the dictionary and to Qualifier.	Decided during the telecon on 2008-08-21
203	1.3.1	2008-09-04	T.King	Changed "Physical Parameter" to "Parameter".	Decided during the telecon on 2008-09-04
205	1.3.1	2008-09-04	T.King	Removed "Measured" and shifted containers under "Measured" up one level.	Decided during the telecon on 2008-09-04
205	1.3.1	2008-09-04	T.King	Added "Velocity" to "Support Quantity".	Decided during the telecon on 2008-09-04
206	1.3.1	2008-09-04	T.King	Added "Count Rate" to the dictionary and to "Particle Quantity".	Decided during the telecon on 2008-09-04
207	1.3.2	2008-10-07	T.King	Removed "Charged Particle Flux" from Measurement Type and the dictionary.	Decided during the telecon on 2008-09-18
208	1.3.2	2008-10-07	T.King	Added "Interstellar" to dictionary and Region.	Decided during the telecon on 2008-09-18
209	1.3.2	2008-10-15	T.King	Changed "Format" under "Rendering Hints" to "Value Format" to eliminate name conflict with "Format".	
210	1.3.3	2008-10-16	T.King	Added the "Association" container and "Association Type" enumeration to the dictionary. Modified the ontology to replace "Association Type" with the new "Association" container.	Decided during the telecon on 2008-10-16
211	1.3.4	2009-01-14	T.King	Added "Wave", "Passive" and "Active" to the dictionary. Added "Wave" as an enumeration. Remove "Radio and Plasma Waves" and "Radio Soundings" from the "Measurement Type" enumeration and added "Wave" to the enumeration.	Decided during the telecon on 2009-01-08
212	1.3.4	2009-01-14	T.King	Added "Linear Scale" and "Log Scale" to the dictionary. Removed "Log" from the dictionary. Modified the definition of "Linear" to remove reference scaled related usage. Updated the "Scale" enumeration with the name changes.	Decided during the telecon on 2009-01-08
213	1.3.4	2009-01-14	T.King	Added "Language" under "Information URL".	Editorial addition
215	1.3.4	2009-01-14	T.King	Changed the definition of "Text" and converted "Text" to an enumeration with possible encoding types.	Decided during the telecon on 2009-01-08 and subsequent e-mails
215	1.3.4	2009-01-14	T.King	Modified "Component" to consist of "I", "J", "K". Added "Direction Angle", and "Projection" to "Qualifier". Removed "R", "Theta", "Phi", "X", "Y", and "Z". Added "Direction Angle" as an enumeration with values of "Azimuth Angle", "Polar Angle" and "Elevation Angle". Added "Projection" as an enumeration with value of "IJ", "IK", and "JK".	Decided during the telecon on 2009-01-08
216	1.3.4	2009-01-22	T.King	Modified definition of "Mixed"	Decided during the telecon on 2009-01-22
217	1.3.4	2009-01-22	T.King	Changed occurrence of "Particle" to one or more.	Decided during the telecon on 2009-01-22
218	1.3.4	2009-01-23	T.King	Added "Ion Chamber" to dictionary and "Instrument Type" list.	Decided during the telecon on 2009-01-22
219	1.3.4	2009-02-05	T.King	Added (restored) "Intensity" to dictionary and "Photon Quantity" list.	Decided during the telecon on 2009-02-05
220	1.3.4	2009-02-05	T.King	Changed "Line-of-sight" to "Line Of Sight".	Decided during the telecon on 2009-02-05
221	1.3.4	2009-02-05	T.King	Added "Psuedo" and "Column" to the dictionary and to "Qualifier" list.	Decided during the telecon on 2009-02-05
222	1.3.4	2009-02-26	T.King	Added "Annotation" resource and "Annotation Type" and "Confidence Rating" enumerations. The terms "Anomaly", "Event", "Feature", "Probable", "Good", "High" were added to support the new enumerations.	Decided during the telecon on 2009-02-05
223	1.3.4	2009-02-27	T.King	Change "Wave" to "Waves".	Editorial Change
224	1.3.5	2009-03-25	T.King	Updated definitions for "Numeric" and "Text" data types.	Editorial Change.
225	1.3.5	2009-03-26	T.King	Changed "Mixed" to a container with "Qualifier" and "Mixed Quantity" as attributes. Added "Mixed Quantity" enumeration with allowed values of "Alfven Mach Number", "Other", "Plasma Beta", "Thermal Pressure", "Alfven Velocity", "Magnetosonic Mach Number", "Plasma Beta", and "Plasma Frequency-To-Gyrofrequency Ratio".	Decided during the telecon on 2009-03-26
226	1.3.5	2009-03-26	T.King	Added "Access URL" to "Repository" and "Registry".	Decided during the telecon on 2009-03-26
227	1.3.5	2009-03-26	T.King	Added "Image URL" to "Annotation" and dictionary	Decided during the telecon on 2009-03-26
228	1.3.5	2009-03-26	T.King	Various editorial updates to definitions, spelling and typos	Editorial change permitted during the telecon on 2009-03-26
229	1.3.5	2009-03-26	T.King	Added "Plasmagram", "Spectrogram" and "Wave Form" to the dictionary and to the "Display Type" list.	Decided during the telecon on 2009-03-26
230	1.3.5	2009-03-26	T.King	Changed the name of "Photon" to "Waves" and "PhotonQuantity" to "WaveQuantity". Added "Wave Type" with values of "Electromagnetic", "Electrostatic", "Photon", "Plasma Waves", "Hydrodynamic", and "MHD".	Decided during the telecon on 2009-03-26
231	1.3.5	2009-03-26	T.King	Updated definitions of "Emissivity", "Equivalent Width", "Gyrofrequency", "Intensity", "Line Depth", "Plasma Frequency", "Poynting Flux". Added "Wave Type" with values of "Electromagnetic", "Electrostatic", "Photon", "Plasma Waves", "Hydrodynamic", and "MHD".	Decided during the telecon on 2009-03-26
232	1.3.5	2009-03-26	T.King	Added "Absorption", "AC-Electric Field", "AC-Magnetic Field", "Doppler Frequency", "Frequency", "Propagation Time", and "Wavelength" to dictionary and "Wave Quantity". Added "Wave Type" with values of "Electromagnetic", "Electrostatic", "Photon", "Plasma Waves", "Hydrodynamic", and "MHD".	Decided during the telecon on 2009-03-26
233	1.3.5	2009-03-26	T.King	Added "Far Ultraviolet", "HE-304", "LBH Band" and "Soft X-Rays" to dictionary and "Spectral Range".	Decided during the telecon on 2009-03-26
234	1.3.5	2009-04-06	T.King	Removed "Spectral Range" from under "Energy Range".	Decided by e-mail 2009-04-06
235	1.3.6	2009-04-09	T.King	Added "Atom" and "Neutron" to "Particle Type".	Decided during the telecon on 2009-04-09
236	1.3.6	2009-04-09	T.King	Added "Array" and "Total" to "Qualifier".	Decided during the telecon on 2009-04-09
237	1.3.6	2009-04-09	T.King	Added "Particle Type" to "Mixed".	Decided during the telecon on 2009-04-09
238	1.3.6	2009-04-09	T.King	Added "Unlikely" and "Weak" to the dictionary and modified "Confidence Rating" to have values "Unlikely", "Weak", "Probable", and "Strong".	Decided during the telecon on 2009-04-09
239	1.3.6	2009-04-09	T.King	Added "Classification Method" as a enumeration with allowed values of "Automatic", "Inspection", and "Inferred". Added "Classification Method" to "Annotation".	Decided during the telecon on 2009-04-09
240	1.3.6	2009-04-09	T.King	Added "Observation Extent" with attributes of "Observed Region", "Start Location", "Stop Location" and "Note".  Added "Observation Extent" to "Annotation".	Decided during the telecon on 2009-04-09
241	1.3.6	2009-04-09	T.King	Added "Child Event Of" and "Observed By" to "Association Type".	Decided during the telecon on 2009-04-09
