Version	Since	Object	Element	Order	Occurrence	Group	Type
1.3.0	1.1.0	Access Information	Repository ID	1	1		
1.3.0	1.1.0	Access Information	Availability	2	0		
1.3.0	1.1.0	Access Information	Access Rights	4	0		
1.3.0	1.1.0	Access Information	Access URL	5	+		
1.3.0	1.1.0	Access Information	Format	7	1		
1.3.0	1.1.0	Access Information	Encoding	8	0		
1.3.0	1.2.0	Access Information	Data Extent	9	0		
1.3.0	1.1.0	Access Information	Acknowledgement	10	0		
1.3.0	1.1.0	Access URL	Name	1	0		
1.3.0	1.1.0	Access URL	URL	2	1		
1.3.0	1.1.0	Access URL	Description	3	0		
1.3.0	1.3.0	Access URL	Language	4	0		
1.3.0	1.1.0	Azimuthal Angle Range	Low	1	1		
1.3.0	1.1.0	Azimuthal Angle Range	High	2	1		
1.3.0	1.1.0	Azimuthal Angle Range	Units	3	1		
1.3.0	1.1.0	Azimuthal Angle Range	Bin	4	*		
1.3.0	1.3.0	Bin	Band Name	1	0		
1.3.0	1.1.0	Bin	Low	2	1		
1.3.0	1.1.0	Bin	High	3	1		
1.3.0	1.1.0	Catalog	Resource ID	1	1		
1.3.0	1.1.0	Catalog	Resource Header	2	1		
1.3.0	1.1.0	Catalog	Access Information	3	+		
1.3.0	1.1.0	Catalog	Provider Resource Name	4	0		
1.3.0	1.1.0	Catalog	Provider Version	5	0		
1.3.0	1.1.0	Catalog	Instrument ID	6	*		
1.3.0	1.1.0	Catalog	Phenomenon Type	7	+		
1.3.0	1.1.0	Catalog	Time Span	8	0		
1.3.0	1.1.0	Catalog	Caveats	9	0		
1.3.0	1.1.0	Catalog	Keyword	10	*		
1.3.0	1.1.0	Catalog	Input Resource ID	12	*		
1.3.0	1.3.0	Catalog	Physical Parameter	13	*		
1.3.0	1.3.0	Catalog	Extension	14	*		
1.3.0	1.2.0	Checksum	Hash Value	1	1		
1.3.0	1.2.0	Checksum	Hash Function	2	1		
1.3.0	1.1.0	Contact	Person ID	1	1		
