Version	Since	Object	Element	Order	Occurrence	Group	Type
2.2.1	1.1.0	Access Information	Repository ID	1	1		
2.2.1	1.1.0	Access Information	Availability	2	0		
2.2.1	1.1.0	Access Information	Access Rights	3	0		
2.2.1	1.1.0	Access Information	Access URL	4	+		
2.2.1	1.1.0	Access Information	Format	5	1		
2.2.1	1.1.0	Access Information	Encoding	6	0		
2.2.1	1.2.0	Access Information	Data Extent	7	0		
2.2.1	1.1.0	Access Information	Acknowledgement	8	0		
2.2.1	1.1.0	Access URL	Name	1	0		
2.2.1	1.1.0	Access URL	URL	2	1		
2.2.1	1.1.0	Access URL	Description	3	0		
2.2.1	1.3.0	Access URL	Language	4	0		
2.2.1	1.3.4	Annotation	Resource ID	1	1		
2.2.1	1.3.4	Annotation	Resource Header	2	1		
2.2.1	1.3.4	Annotation	Image URL	3	0		
2.2.1	1.3.4	Annotation	Annotation Type	4	1		
2.2.1	1.3.4	Annotation	Phenomenon Type	5	0		
2.2.1	1.3.4	Annotation	Classification Method	6	0		
2.2.1	1.3.4	Annotation	Confidence Rating	7	0		
2.2.1	1.3.4	Annotation	Time Span	8	*		
2.2.1	1.3.4	Annotation	Observation Extent	9	*		
2.2.1	1.3.4	Annotation	Extension	10	*		
2.2.1	1.3.3	Association	Association ID	1	0		
2.2.1	1.3.3	Association	Association Type	2	0		
2.2.1	1.3.3	Association	Note	3	0		
2.2.1	1.1.0	Azimuthal Angle Range	Low	1	1		
2.2.1	1.1.0	Azimuthal Angle Range	High	2	1		
2.2.1	1.1.0	Azimuthal Angle Range	Units	3	1		
2.2.1	1.1.0	Azimuthal Angle Range	Bin	4	*		
2.2.1	1.3.0	Bin	Band Name	1	0		
2.2.1	1.1.0	Bin	Low	2	1		
2.2.1	1.1.0	Bin	High	3	1		
2.2.1	1.1.0	Catalog	Resource ID	1	1		
2.2.1	1.1.0	Catalog	Resource Header	2	1		
2.2.1	1.1.0	Catalog	Access Information	3	+		
2.2.1	1.1.0	Catalog	Provider Resource Name	4	0		
2.2.1	1.1.0	Catalog	Provider Version	5	0		
2.2.1	1.1.0	Catalog	Instrument ID	6	*		
2.2.1	1.1.0	Catalog	Phenomenon Type	7	+		
2.2.1	1.1.0	Catalog	Time Span	8	0		
